,tempo(s),Ca,Cb,Cc,Cd
77,770,1.2782416534831378,0.2782416534831365,6.721758346516859,5.721758346516859
78,780,1.2719975658678735,0.27199756586787227,6.728002434132123,5.728002434132123
79,790,1.2659227544850036,0.2659227544850023,6.734077245514993,5.734077245514993
80,800,1.2600113525981167,0.26001135259811553,6.739988647401881,5.739988647401881
81,810,1.2542577528782486,0.2542577528782473,6.745742247121749,5.745742247121749
82,820,1.2486565953748516,0.24865659537485038,6.751343404625145,5.751343404625145
83,830,1.2432027540755541,0.24320275407555286,6.756797245924443,5.756797245924443
84,840,1.2378913232763544,0.23789132327635318,6.762108676723643,5.762108676723643
85,850,1.232717605396459,0.23271760539645778,6.767282394603538,5.767282394603538
86,860,1.2276771015471823,0.227677101547181,6.772322898452815,5.772322898452815
87,870,1.2227655008137843,0.22276550081378305,6.777234499186213,5.777234499186213
88,880,1.2179786693143382,0.2179786693143369,6.78202133068566,5.78202133068566
89,890,1.2133126421901845,0.21331264219018317,6.7866873578098135,5.7866873578098135
90,900,1.2087636152293542,0.20876361522935283,6.791236384770644,5.791236384770644
91,910,1.2043279364748996,0.20432793647489822,6.795672063525099,5.795672063525099
92,920,1.2000020981890658,0.20000209818906456,6.799997901810932,5.799997901810932
93,930,1.1957827306024749,0.19578273060247361,6.8042172693975225,5.8042172693975225
94,940,1.1916665950520864,0.19166659505208508,6.808333404947912,5.808333404947912
95,950,1.1876505772294754,0.18765057722947412,6.812349422770523,5.812349422770523
96,960,1.183731681530972,0.18373168153097066,6.816268318469026,5.816268318469026
97,970,1.1799070256426532,0.17990702564265196,6.820092974357345,5.820092974357345
98,980,1.1761738351281361,0.1761738351281348,6.823826164871862,5.823826164871862
99,990,1.1725294380985372,0.1725294380985359,6.827470561901461,5.827470561901461
