,tempo(s),Ca,Cb,Cc,Cd
0,0,7.0,6.0,1.0,0.0
1,10,6.329943275517412,5.329943275517412,1.670056724482587,0.6700567244825869
2,20,5.785876438871274,4.785876438871274,2.2141235611287255,1.2141235611287253
3,30,5.335383827804485,4.335383827804485,2.664616172195515,1.664616172195514
4,40,4.956291554280526,3.9562915542805253,3.043708445719474,2.0437084457194734
5,50,4.632918741850689,3.63291874185069,3.3670812581493093,2.367081258149309
6,60,4.353862993172072,3.3538629931720716,3.6461370068279275,2.646137006827927
7,70,4.110634382500328,3.1106343825003284,3.8893656174996707,2.8893656174996702
8,80,3.8967813025291624,2.896781302529163,4.103218697470837,3.103218697470836
9,90,3.707313452130575,2.7073134521305753,4.292686547869424,3.2926865478694234
10,100,3.538310244503713,2.5383102445037133,4.461689755496286,3.4616897554962853
11,110,3.386648729201363,2.3866487292013634,4.613351270798635,3.6133512707986353
12,120,3.2498106077067273,2.2498106077067277,4.750189392293271,3.750189392293271
13,130,3.125742632047043,2.1257426320470434,4.874257367952956,3.8742573679529553
14,140,3.012753969470593,2.0127539694705936,4.987246030529405,3.987246030529405
15,150,2.909439640254503,1.9094396402545035,5.090560359745496,4.090560359745496
16,160,2.814622550629336,1.8146225506293359,5.185377449370663,4.185377449370663
17,170,2.7273090908796345,1.7273090908796345,5.272690909120365,4.272690909120365
18,180,2.6466547256653987,1.646654725665399,5.3533452743345995,4.3533452743345995
19,190,2.57193704125129,1.5719370412512903,5.428062958748708,4.428062958748708
20,200,2.5025344423652753,1.502534442365276,5.497465557634722,4.497465557634722
21,210,2.437909156783766,1.4379091567837663,5.562090843216231,4.562090843216231
22,220,2.3775935661114214,1.3775935661114216,5.622406433888576,4.622406433888576
23,230,2.3211791262796067,1.3211791262796069,5.678820873720391,4.678820873720391
24,240,2.2683073238857414,1.2683073238857412,5.731692676114257,4.731692676114257
25,250,2.2186622428607223,1.2186622428607223,5.7813377571392754,4.7813377571392754
26,260,2.1719644237857656,1.171964423785765,5.8280355762142335,4.8280355762142335
27,270,2.127965748690005,1.1279657486900043,5.872034251309994,4.872034251309994
28,280,2.086445167784683,1.0864451677846825,5.913554832215316,4.913554832215316
29,290,2.047205105174696,1.0472051051746951,5.9527948948253036,4.9527948948253036
30,300,2.010068421817666,1.010068421817665,5.9899315781823335,4.9899315781823335
31,310,1.9748758412036849,0.9748758412036841,6.025124158796314,5.025124158796314
32,320,1.9414837521278796,0.9414837521278788,6.058516247872119,5.058516247872119
33,330,1.9097623284895298,0.909762328489529,6.090237671510469,5.090237671510469
34,340,1.879593913200332,0.8795939132003313,6.120406086799667,5.120406086799667
35,350,1.8508716252681787,0.8508716252681781,6.14912837473182,5.14912837473182
36,360,1.8234981532390964,0.8234981532390956,6.176501846760902,5.176501846760902
37,370,1.7973847065559079,0.7973847065559072,6.202615293444091,5.202615293444091
38,380,1.7724501027293162,0.7724501027293154,6.227549897270682,5.227549897270682
39,390,1.7486199734614671,0.7486199734614664,6.2513800265385315,5.2513800265385315
40,400,1.7258260558953067,0.7258260558953059,6.2741739441046915,5.2741739441046915
41,410,1.704005586081642,0.7040055860816412,6.295994413918357,5.295994413918357
42,420,1.6831007507459572,0.6831007507459563,6.316899249254041,5.316899249254041
43,430,1.663058211624493,0.6630582116244921,6.336941788375506,5.336941788375506
44,440,1.6438286787519667,0.6438286787519658,6.3561713212480315,5.3561713212480315
45,450,1.6253665338069678,0.6253665338069668,6.374633466193031,5.374633466193031
46,460,1.6076294947795478,0.607629494779547,6.392370505220451,5.392370505220451
47,470,1.5905783151997748,0.590578315199774,6.409421684800224,5.409421684800224
48,480,1.57417651777087,0.5741765177708692,6.425823482229128,5.425823482229128
49,490,1.5583901526400183,0.5583901526400175,6.441609847359979,5.441609847359979
50,500,1.543187583477949,0.5431875834779478,6.456812416522049,5.456812416522049
51,510,1.52853929241745,0.528539292417449,6.471460707582548,5.471460707582548
52,520,1.5144177064452629,0.514417706445262,6.485582293554735,5.485582293554735
53,530,1.5007970389544762,0.5007970389544754,6.499202961045522,5.499202961045522
54,540,1.4876531472238144,0.4876531472238134,6.512346852776183,5.512346852776183
55,550,1.4749634038628718,0.47496340386287095,6.5250365961371255,5.5250365961371255
56,560,1.4627065815113343,0.4627065815113333,6.537293418488663,5.537293418488663
57,570,1.4508627410174848,0.4508627410174838,6.549137258982513,5.549137258982513
58,580,1.4394131399485344,0.43941313994853315,6.560586860051464,5.560586860051464
59,590,1.4283401423519633,0.4283401423519621,6.571659857648035,5.571659857648035
60,600,1.4176271365424014,0.4176271365424002,6.582372863457597,5.582372863457597
61,610,1.4072584653007418,0.40725846530074056,6.592741534699256,5.592741534699256
62,620,1.3972193546414573,0.397219354641456,6.602780645358541,5.602780645358541
63,630,1.387495854416201,0.3874958544161999,6.612504145583797,5.612504145583797
64,640,1.3780747815319863,0.3780747815319851,6.621925218468011,5.621925218468011
65,650,1.3689436664766612,0.36894366647666,6.631056333523336,5.631056333523336
66,660,1.3600907074623634,0.36009070746236216,6.639909292537634,5.639909292537634
67,670,1.3515047248574108,0.3515047248574095,6.6484952751425865,5.6484952751425865
68,680,1.3431751212798213,0.34317512127982,6.656824878720177,5.656824878720177
69,690,1.335091844396597,0.3350918443965955,6.664908155603401,5.664908155603401
70,700,1.3272453513761275,0.32724535137612615,6.67275464862387,5.67275464862387
71,710,1.3196265779397898,0.3196265779397884,6.680373422060208,5.680373422060208
72,720,1.3122269081108473,0.3122269081108458,6.6877730918891505,5.6877730918891505
73,730,1.3050381469243422,0.3050381469243407,6.694961853075656,5.694961853075656
74,740,1.2980524952534374,0.298052495253436,6.701947504746561,5.701947504746561
75,750,1.2912625256795818,0.2912625256795803,6.708737474320416,5.708737474320416
76,760,1.284661161021233,0.28466116102123196,6.715338838978764,5.715338838978764
